realm-java 6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb EXTRACT	{Method showStatus(Realm) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:112}	{Method showStatus(String) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:131})
elasticsearch c928852d4ab7d8c744063979208709ed4429b8e9 MOVE	{Method newFilter(QueryParseContext, String, String) at core/src/main/java/org/elasticsearch/index/query/ExistsQueryParser.java:78}	{Method newFilter(QueryParseContext, String, String) at core/src/main/java/org/elasticsearch/index/query/ExistsQueryBuilder.java:94})
elasticsearch c928852d4ab7d8c744063979208709ed4429b8e9 RENAME	{Method parse(QueryParseContext) at core/src/main/java/org/elasticsearch/index/query/ExistsQueryParser.java:48}	{Method fromXContent(QueryParseContext) at core/src/main/java/org/elasticsearch/index/query/ExistsQueryParser.java:41})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 MOVE_RENAME	{Class TieredMergePolicyProvider at core/src/main/java/org/elasticsearch/index/merge/policy/TieredMergePolicyProvider.java:30}	{Class MergePolicyConfig at core/src/main/java/org/elasticsearch/index/shard/MergePolicyConfig.java:31})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 INTERNAL_MOVE	{Method onRefreshSettings(Settings) at core/src/main/java/org/elasticsearch/index/merge/policy/TieredMergePolicyProvider.java:106}	{Method onRefreshSettings(Settings) at core/src/main/java/org/elasticsearch/index/shard/MergePolicyConfig.java:102})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 CHANGE_SIGNATURE	{Method createEngine(IndexSettingsService, Store, Path, MergeSchedulerProvider) at core/src/test/java/org/elasticsearch/index/engine/InternalEngineTests.java:250}	{Method createEngine(IndexSettingsService, Store, Path, MergeSchedulerProvider, MergePolicy) at core/src/test/java/org/elasticsearch/index/engine/InternalEngineTests.java:243})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 MOVE	{Method parseNoCFSRatio(String) at core/src/main/java/org/elasticsearch/index/merge/policy/AbstractMergePolicyProvider.java:38}	{Method parseNoCFSRatio(String) at core/src/main/java/org/elasticsearch/index/shard/MergePolicyConfig.java:162})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 MOVE	{Class VersionFieldUpgrader at core/src/main/java/org/elasticsearch/index/merge/policy/VersionFieldUpgrader.java:49}	{Class VersionFieldUpgrader at core/src/main/java/org/elasticsearch/index/shard/VersionFieldUpgrader.java:49})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 CHANGE_SIGNATURE	{Method IndexShard(ShardId, IndexSettingsService, IndicesLifecycle, Store, MergeSchedulerProvider, ThreadPool, MapperService, IndexQueryParserService, IndexCache, IndexAliasesService, ShardIndexingService, ShardGetService, ShardSearchService, ShardIndexWarmerService, ShardFilterCache, ShardFieldData, PercolatorQueriesRegistry, ShardPercolateService, CodecService, ShardTermVectorsService, IndexFieldDataService, IndexService, ShardSuggestService, ShardQueryCache, ShardBitsetFilterCache, IndicesWarmer, SnapshotDeletionPolicy, SimilarityService, MergePolicyProvider, EngineFactory, ClusterService, NodeEnvironment, ShardPath, BigArrays) at core/src/main/java/org/elasticsearch/index/shard/IndexShard.java:195}	{Method IndexShard(ShardId, IndexSettingsService, IndicesLifecycle, Store, MergeSchedulerProvider, ThreadPool, MapperService, IndexQueryParserService, IndexCache, IndexAliasesService, ShardIndexingService, ShardGetService, ShardSearchService, ShardIndexWarmerService, ShardFilterCache, ShardFieldData, PercolatorQueriesRegistry, ShardPercolateService, CodecService, ShardTermVectorsService, IndexFieldDataService, IndexService, ShardSuggestService, ShardQueryCache, ShardBitsetFilterCache, IndicesWarmer, SnapshotDeletionPolicy, SimilarityService, EngineFactory, ClusterService, NodeEnvironment, ShardPath, BigArrays) at core/src/main/java/org/elasticsearch/index/shard/IndexShard.java:196})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 MOVE	{Method formatNoCFSRatio(double) at core/src/main/java/org/elasticsearch/index/merge/policy/AbstractMergePolicyProvider.java:57}	{Method formatNoCFSRatio(double) at core/src/main/java/org/elasticsearch/index/shard/MergePolicyConfig.java:181})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 MOVE	{Class FilterDocValuesProducer at core/src/main/java/org/elasticsearch/index/merge/policy/FilterDocValuesProducer.java:44}	{Class FilterDocValuesProducer at core/src/main/java/org/elasticsearch/index/shard/FilterDocValuesProducer.java:44})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 MOVE	{Class MergePolicySettingsTest at core/src/test/java/org/elasticsearch/index/merge/policy/MergePolicySettingsTest.java:42}	{Class MergePolicySettingsTest at core/src/test/java/org/elasticsearch/index/shard/MergePolicySettingsTest.java:45})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 MOVE	{Class ElasticsearchMergePolicy at core/src/main/java/org/elasticsearch/index/merge/policy/ElasticsearchMergePolicy.java:46}	{Class ElasticsearchMergePolicy at core/src/main/java/org/elasticsearch/index/shard/ElasticsearchMergePolicy.java:46})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 CHANGE_SIGNATURE	{Method config(IndexSettingsService, Store, Path, MergeSchedulerProvider) at core/src/test/java/org/elasticsearch/index/engine/InternalEngineTests.java:254}	{Method config(IndexSettingsService, Store, Path, MergeSchedulerProvider, MergePolicy) at core/src/test/java/org/elasticsearch/index/engine/InternalEngineTests.java:247})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 MOVE	{Class VersionFieldUpgraderTest at core/src/test/java/org/elasticsearch/index/merge/policy/VersionFieldUpgraderTest.java:42}	{Class VersionFieldUpgraderTest at core/src/test/java/org/elasticsearch/index/shard/VersionFieldUpgraderTest.java:43})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 CHANGE_SIGNATURE	{Method ShadowIndexShard(ShardId, IndexSettingsService, IndicesLifecycle, Store, MergeSchedulerProvider, ThreadPool, MapperService, IndexQueryParserService, IndexCache, IndexAliasesService, ShardIndexingService, ShardGetService, ShardSearchService, ShardIndexWarmerService, ShardFilterCache, ShardFieldData, PercolatorQueriesRegistry, ShardPercolateService, CodecService, ShardTermVectorsService, IndexFieldDataService, IndexService, ShardSuggestService, ShardQueryCache, ShardBitsetFilterCache, IndicesWarmer, SnapshotDeletionPolicy, SimilarityService, MergePolicyProvider, EngineFactory, ClusterService, NodeEnvironment, ShardPath, BigArrays) at core/src/main/java/org/elasticsearch/index/shard/ShadowIndexShard.java:70}	{Method ShadowIndexShard(ShardId, IndexSettingsService, IndicesLifecycle, Store, MergeSchedulerProvider, ThreadPool, MapperService, IndexQueryParserService, IndexCache, IndexAliasesService, ShardIndexingService, ShardGetService, ShardSearchService, ShardIndexWarmerService, ShardFilterCache, ShardFieldData, PercolatorQueriesRegistry, ShardPercolateService, CodecService, ShardTermVectorsService, IndexFieldDataService, IndexService, ShardSuggestService, ShardQueryCache, ShardBitsetFilterCache, IndicesWarmer, SnapshotDeletionPolicy, SimilarityService, EngineFactory, ClusterService, NodeEnvironment, ShardPath, BigArrays) at core/src/main/java/org/elasticsearch/index/shard/ShadowIndexShard.java:68})
elasticsearch f77804dad35c13d9ff96456e85737883cf7ddd99 CHANGE_SIGNATURE	{Method EngineConfig(ShardId, ThreadPool, ShardIndexingService, IndexSettingsService, IndicesWarmer, Store, SnapshotDeletionPolicy, MergePolicyProvider, MergeSchedulerProvider, Analyzer, Similarity, CodecService, Engine.FailedEngineListener, TranslogRecoveryPerformer, QueryCache, QueryCachingPolicy, TranslogConfig) at core/src/main/java/org/elasticsearch/index/engine/EngineConfig.java:143}	{Method EngineConfig(ShardId, ThreadPool, ShardIndexingService, IndexSettingsService, IndicesWarmer, Store, SnapshotDeletionPolicy, MergePolicy, MergeSchedulerProvider, Analyzer, Similarity, CodecService, Engine.FailedEngineListener, TranslogRecoveryPerformer, QueryCache, QueryCachingPolicy, TranslogConfig) at core/src/main/java/org/elasticsearch/index/engine/EngineConfig.java:143})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method ExceptionThrowingNettyTransport(Settings, ThreadPool, NetworkService, BigArrays, Version) at core/src/test/java/org/elasticsearch/transport/netty/NettyTransportTests.java:85}	{Method ExceptionThrowingNettyTransport(Settings, ThreadPool, NetworkService, BigArrays, Version, NamedWriteableRegistry) at core/src/test/java/org/elasticsearch/transport/netty/NettyTransportTests.java:86})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method AssertingLocalTransport(Settings, ThreadPool, Version) at core/src/test/java/org/elasticsearch/test/transport/AssertingLocalTransport.java:47}	{Method AssertingLocalTransport(Settings, ThreadPool, Version, NamedWriteableRegistry) at core/src/test/java/org/elasticsearch/test/transport/AssertingLocalTransport.java:48})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method build(Settings, Version) at core/src/test/java/org/elasticsearch/transport/local/SimpleLocalTransportTests.java:29}	{Method build(Settings, Version, NamedWriteableRegistry) at core/src/test/java/org/elasticsearch/transport/local/SimpleLocalTransportTests.java:30})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method CountingAssertingLocalTransport(Settings, ThreadPool, Version) at core/src/test/java/org/elasticsearch/plugins/PluggableTransportModuleTests.java:93}	{Method CountingAssertingLocalTransport(Settings, ThreadPool, Version, NamedWriteableRegistry) at core/src/test/java/org/elasticsearch/plugins/PluggableTransportModuleTests.java:94})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method ServerChannelPipelineFactory(NettyTransport, String, Settings) at core/src/main/java/org/elasticsearch/transport/netty/NettyTransport.java:1008}	{Method ServerChannelPipelineFactory(NettyTransport, String, Settings, NamedWriteableRegistry) at core/src/main/java/org/elasticsearch/transport/netty/NettyTransport.java:1013})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method NettyTransport(Settings, ThreadPool, NetworkService, BigArrays, Version) at core/src/main/java/org/elasticsearch/transport/netty/NettyTransport.java:159}	{Method NettyTransport(Settings, ThreadPool, NetworkService, BigArrays, Version, NamedWriteableRegistry) at core/src/main/java/org/elasticsearch/transport/netty/NettyTransport.java:162})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method build(Settings, Version) at core/src/test/java/org/elasticsearch/transport/AbstractSimpleTransportTests.java:62}	{Method build(Settings, Version, NamedWriteableRegistry) at core/src/test/java/org/elasticsearch/transport/AbstractSimpleTransportTests.java:64})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method build(Settings, Version) at core/src/test/java/org/elasticsearch/transport/netty/SimpleNettyTransportTests.java:37}	{Method build(Settings, Version, NamedWriteableRegistry) at core/src/test/java/org/elasticsearch/transport/netty/SimpleNettyTransportTests.java:38})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a EXTRACT	{Method doXContent(XContentBuilder, Params) at core/src/main/java/org/elasticsearch/index/query/QueryFilterBuilder.java:62}	{Method buildFQuery(XContentBuilder, Params) at core/src/main/java/org/elasticsearch/index/query/QueryFilterBuilder.java:70})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method ErrorPipelineFactory(ExceptionThrowingNettyTransport, String, Settings) at core/src/test/java/org/elasticsearch/transport/netty/NettyTransportTests.java:99}	{Method ErrorPipelineFactory(ExceptionThrowingNettyTransport, String, Settings, NamedWriteableRegistry) at core/src/test/java/org/elasticsearch/transport/netty/NettyTransportTests.java:100})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method LocalTransport(Settings, ThreadPool, Version) at core/src/main/java/org/elasticsearch/transport/local/LocalTransport.java:74}	{Method LocalTransport(Settings, ThreadPool, Version, NamedWriteableRegistry) at core/src/main/java/org/elasticsearch/transport/local/LocalTransport.java:74})
elasticsearch ff9041dc486adf0a8dec41f80bbfbdd49f97016a CHANGE_SIGNATURE	{Method IndicesQueriesRegistry(Settings, Set<QueryParser>) at core/src/main/java/org/elasticsearch/indices/query/IndicesQueriesRegistry.java:37}	{Method IndicesQueriesRegistry(Settings, Set<QueryParser>, NamedWriteableRegistry) at core/src/main/java/org/elasticsearch/indices/query/IndicesQueriesRegistry.java:38})
atomix 19a49f8f36b2f6d82534dc13504d672e41a3a8d1 PULL_UP	{Method handleAppend(AppendRequest) at raft/src/main/java/net/kuujo/copycat/raft/state/ActiveState.java:76}	{Method handleAppend(AppendRequest) at raft/src/main/java/net/kuujo/copycat/raft/state/PassiveState.java:64})
atomix 19a49f8f36b2f6d82534dc13504d672e41a3a8d1 PULL_UP	{Method doAppendEntries(AppendRequest) at raft/src/main/java/net/kuujo/copycat/raft/state/ActiveState.java:143}	{Method doAppendEntries(AppendRequest) at raft/src/main/java/net/kuujo/copycat/raft/state/PassiveState.java:131})
atomix 19a49f8f36b2f6d82534dc13504d672e41a3a8d1 PULL_UP	{Method doCheckPreviousEntry(AppendRequest) at raft/src/main/java/net/kuujo/copycat/raft/state/ActiveState.java:106}	{Method doCheckPreviousEntry(AppendRequest) at raft/src/main/java/net/kuujo/copycat/raft/state/PassiveState.java:94})
atomix 19a49f8f36b2f6d82534dc13504d672e41a3a8d1 PULL_UP	{Method applyIndex(long) at raft/src/main/java/net/kuujo/copycat/raft/state/ActiveState.java:248}	{Method applyIndex(long) at raft/src/main/java/net/kuujo/copycat/raft/state/PassiveState.java:236})
atomix 19a49f8f36b2f6d82534dc13504d672e41a3a8d1 PULL_UP	{Method applyCommits(long) at raft/src/main/java/net/kuujo/copycat/raft/state/ActiveState.java:197}	{Method applyCommits(long) at raft/src/main/java/net/kuujo/copycat/raft/state/PassiveState.java:185})
byte-buddy f1dfb66a368760e77094ac1e3860b332cf0e4eb5 PULL_UP	{Method wrap(List<ParameterDescription>) at byte-buddy-dep/src/main/java/net/bytebuddy/description/method/ParameterList.java:132}	{Method wrap(List<ParameterDescription>) at byte-buddy-dep/src/main/java/net/bytebuddy/description/method/ParameterList.java:48})
byte-buddy f1dfb66a368760e77094ac1e3860b332cf0e4eb5 PULL_UP	{Method wrap(List<ParameterDescription>) at byte-buddy-dep/src/main/java/net/bytebuddy/description/method/ParameterList.java:313}	{Method wrap(List<ParameterDescription>) at byte-buddy-dep/src/main/java/net/bytebuddy/description/method/ParameterList.java:48})
jackson-databind 44dea1f292933192ea5287d9b3e14a7daaef3c0f MOVE_RENAME	{Method testIssue222() at src/test/java/com/fasterxml/jackson/failing/TestExternalTypeId222.java:103}	{Method testExternalTypeWithProp222() at src/test/java/com/fasterxml/jackson/databind/jsontype/TestExternalId.java:445})
jackson-databind 44dea1f292933192ea5287d9b3e14a7daaef3c0f MOVE	{Class Issue222BeanB at src/test/java/com/fasterxml/jackson/failing/TestExternalTypeId222.java:94}	{Class Issue222BeanB at src/test/java/com/fasterxml/jackson/databind/jsontype/TestExternalId.java:229})
jackson-databind 44dea1f292933192ea5287d9b3e14a7daaef3c0f MOVE	{Class Issue222Bean at src/test/java/com/fasterxml/jackson/failing/TestExternalTypeId222.java:79}	{Class Issue222Bean at src/test/java/com/fasterxml/jackson/databind/jsontype/TestExternalId.java:214})
alluxio 6d10621465c0e6ae81ad8d240d70a55c72caeea6 CHANGE_SIGNATURE	{Method BlockMetaBase(long, long, StorageDir) at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:29}	{Method BlockMetaBase(long, StorageDir) at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:28})
alluxio 6d10621465c0e6ae81ad8d240d70a55c72caeea6 PUSH_DOWN_IMPL	{Method getBlockSize() at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:39}	{Method getBlockSize() at servers/src/main/java/tachyon/worker/block/meta/TempBlockMeta.java:33})
alluxio 6d10621465c0e6ae81ad8d240d70a55c72caeea6 EXTRACT_MOVE	{Method getBlockSize() at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:39}	{Method getBlockSize() at servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java:36})
alluxio 6d10621465c0e6ae81ad8d240d70a55c72caeea6 PUSH_DOWN_IMPL	{Method getBlockSize() at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:39}	{Method getBlockSize() at servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java:36})
alluxio 0ba343846f21649e29ffc600f30a7f3e463fb24c PULL_UP	{Method getParentDir() at servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java:53}	{Method getParentDir() at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:51})
alluxio 0ba343846f21649e29ffc600f30a7f3e463fb24c PULL_UP	{Method getBlockSize() at servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java:41}	{Method getBlockSize() at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:39})
alluxio 0ba343846f21649e29ffc600f30a7f3e463fb24c PULL_UP	{Method getBlockId() at servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java:37}	{Method getBlockId() at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:35})
alluxio 0ba343846f21649e29ffc600f30a7f3e463fb24c EXTRACT_SUPER	{Class BlockMeta at servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java:25}	{Class BlockMetaBase at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:24})
alluxio 0ba343846f21649e29ffc600f30a7f3e463fb24c PULL_UP_SIGNATURE	{Method getPath() at servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java:45}	{Method getPath() at servers/src/main/java/tachyon/worker/block/meta/BlockMetaBase.java:55})
orientdb b40adc25008b6f608ee3eb3422c8884fff987337 EXTRACT	{Method command(OCommandRequestText) at client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemote.java:1024}	{Method readSynchResult(OChannelBinaryAsynchClient, ODatabaseDocument) at client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemote.java:1226})
